"","neighborhood","mean_saleprice_per_sqft","median_saleprice_per_sqft","max_saleprice_per_sqft","min_saleprice_per_sqft","mean_saleprice","median_saleprice","max_saleprice","min_saleprice","mean_sqft","median_sqft","max_sqft","min_sqft"
"1","BATHGATE",227.613288438098,214.384776648928,509.842519685039,93.3786078098472,388482.307692308,410750,680000,165000,1967.30769230769,1591,4973,1016
"2","BAYCHESTER",171.328039065872,167.764779197235,449.40625,23.7809752198241,395719.768907563,381000,847567,110000,2562.37394957983,2375,8443,1120
"3","BEDFORD PARK/NORWOOD",181.735152370631,167.487684729064,898.448519040903,68.7272727272727,415748.095238095,410000,1150000,125000,2549.71428571429,2500,5500,709
"4","BELMONT",230.715967166437,232.96447291788,615.384615384615,47.302032235459,471854.838709677,450000,930000,135000,2221.16129032258,2000,5000,1266
"5","BRONX PARK",275.99802858551,275.99802858551,275.99802858551,275.99802858551,560000,560000,560000,560000,2029,2029,2029,2029
"6","BRONXDALE",174.010767926373,179.154995331466,344.115622849277,27.6541640178004,419709.436619718,422000,1100000,104000,2685.85211267606,2500,10000,650
"7","CASTLE HILL/UNIONPORT",162.241331231746,161.290322580645,397.772474144789,38.056206088993,415106.96969697,4e+05,749112,114000,2769.92929292929,2575,6387,1257
"8","CITY ISLAND",122.198297529888,114.138888888889,244.457409568261,30.0518134715026,525812.777777778,455000,1625000,157261,5609.72222222222,4750,51932,1470
"9","CITY ISLAND-PELHAM STRIP",146.55335575039,134.53664347357,250.340136054422,66.8,1989000,1010000,5200000,736000,14660.25,14875,25951,2940
"10","CO-OP CITY",98.2857142857143,98.2857142857143,98.2857142857143,98.2857142857143,430000,430000,430000,430000,4375,4375,4375,4375
"11","COUNTRY CLUB",181.101982399251,187.359241850243,322.512647554806,13.9112155310993,491829.61,487353,9e+05,125000,3533.13,2500,64696,670
"12","CROTONA PARK",162.168904723893,140.487802469136,626.979824561403,22.7608008429926,349907.833333333,313500,714757,134000,2833.58333333333,2112,9490,1140
"13","EAST TREMONT",216.176821489036,189.675030851501,461.680517082179,71.8430505664548,405661.490196078,4e+05,750000,150000,2108.47058823529,2000,3619,906
